Checking virtualization provider installation
OK: clab installed and working correctly
Stopping clab nodes
provider clab: executing flock -E 42 /tmp/netlab.lock sudo -E containerlab destroy --cleanup -t clab.yml
11:42:55 INFO Removed container name=clab-ml-17-H5-20
11:42:55 INFO Removed container name=clab-ml-17-H5-26
11:42:56 INFO Removed container name=clab-ml-17-H3-18
11:42:56 INFO Removed container name=clab-ml-17-H3-23
11:42:56 INFO Removed container name=clab-ml-17-H1-40
11:42:56 INFO Removed container name=clab-ml-17-H6-33
11:42:56 INFO Removed container name=clab-ml-17-H1-39
11:42:56 INFO Removed container name=clab-ml-17-H5-44
11:42:56 INFO Removed container name=clab-ml-17-H4-22
11:42:56 INFO Removed container name=clab-ml-17-H2-46
11:42:56 INFO Removed container name=clab-ml-17-H1-12
11:42:56 INFO Removed container name=clab-ml-17-H2-45
11:42:56 INFO Removed container name=clab-ml-17-H5-25
11:42:56 INFO Removed container name=clab-ml-17-H2-11
11:42:57 INFO Removed container name=clab-ml-17-H2-02
11:42:57 INFO Removed container name=clab-ml-17-H3-44
11:42:57 INFO Removed container name=clab-ml-17-H3-36
11:42:57 INFO Removed container name=clab-ml-17-H3-49
11:42:57 INFO Removed container name=clab-ml-17-H2-33
11:42:57 INFO Removed container name=clab-ml-17-H4-13
11:42:57 INFO Removed container name=clab-ml-17-H2-10
11:42:57 INFO Removed container name=clab-ml-17-H2-38
11:42:57 INFO Removed container name=clab-ml-17-H3-09
11:42:57 INFO Removed container name=clab-ml-17-H1-25
11:42:57 INFO Removed container name=clab-ml-17-H5-48
11:42:57 INFO Removed container name=clab-ml-17-H2-47
11:42:58 INFO Removed container name=clab-ml-17-S1
11:42:58 INFO Removed container name=clab-ml-17-H6-19
11:42:58 INFO Removed container name=clab-ml-17-H2-31
11:42:58 INFO Removed container name=clab-ml-17-H2-14
11:42:58 INFO Removed container name=clab-ml-17-H1-41
11:42:58 INFO Removed container name=clab-ml-17-H4-17
11:42:58 INFO Removed container name=clab-ml-17-H1-04
11:42:58 INFO Removed container name=clab-ml-17-H4-09
11:42:58 INFO Removed container name=clab-ml-17-H6-41
11:42:58 INFO Removed container name=clab-ml-17-H4-26
11:42:58 INFO Removed container name=clab-ml-17-H2-15
11:42:58 INFO Removed container name=clab-ml-17-H3-38
11:42:58 INFO Removed container name=clab-ml-17-H3-03
11:42:59 INFO Removed container name=clab-ml-17-H1-06
